freGHz,amplitude
2.4,-48.090084
2.401,-47.09959
2.4019999999999997,-47.048916
2.403,-46.9962
2.404,-46.89921
2.405,-46.864666
2.4059999999999997,-46.800426
2.407,-46.76064
2.408,-46.707012
2.409,-46.61787
2.4099999999999997,-46.591038
2.411,-46.563953
2.412,-46.53966
2.413,-46.48535
2.4139999999999997,-46.47122
2.415,-46.468903
2.416,-46.409363
2.417,-46.41103
2.4179999999999997,-46.35118
2.419,-46.371292
2.42,-46.349506
2.421,-46.333572
2.4219999999999997,-46.317276
2.423,-46.284195
2.424,-46.295822
2.425,-46.27943
2.4259999999999997,-46.26418
2.427,-46.26587
2.428,-46.25435
2.429,-46.25525
2.4299999999999997,-46.254078
2.431,-46.2497
2.432,-46.249508
2.433,-46.243572
2.4339999999999997,-46.25613
2.435,-46.259197
2.436,-46.249043
2.437,-46.26587
2.4379999999999997,-46.254032
2.439,-46.27907
2.44,-46.291016
2.441,-46.304836
2.4419999999999997,-46.289165
2.443,-46.28304
2.444,-46.324966
2.445,-46.302948
2.4459999999999997,-46.31621
2.447,-46.329487
2.448,-46.361774
2.449,-46.375946
2.4499999999999997,-46.351147
2.451,-46.361713
2.452,-46.386185
2.453,-46.39328
2.4539999999999997,-46.42027
2.455,-46.394238
2.456,-46.436954
2.457,-46.47765
2.4579999999999997,-46.458725
2.459,-46.493084
2.46,-46.50622
2.461,-46.48497
2.4619999999999997,-46.501514
2.463,-46.48631
2.464,-46.509655
2.465,-46.41969
2.4659999999999997,-46.442875
2.467,-46.505463
2.468,-46.466167
2.469,-46.365025
2.4699999999999998,-46.4083
2.471,-46.364796
2.472,-46.362732
2.473,-46.44328
2.4739999999999998,-46.37834
2.475,-46.408325
2.476,-46.33363
2.477,-46.45165
2.4779999999999998,-46.38184
2.479,-46.406696
2.48,-46.4222
2.481,-46.405838
2.4819999999999998,-46.403824
2.483,-46.3763
2.484,-46.38014
2.485,-46.269024
2.4859999999999998,-46.282978
2.487,-46.268627
2.488,-46.259373
2.489,-46.334427
2.4899999999999998,-46.134426
2.491,-46.280094
2.492,-46.326138
2.493,-46.197308
2.4939999999999998,-46.094177
2.495,-46.11502
2.496,-46.169155
2.497,-46.15227
2.4979999999999998,-46.236134
2.499,-46.08484
