freGHz,amplitude
2.4,-49.505157
2.401,-49.70818
2.4019999999999997,-49.466755
2.403,-49.19353
2.404,-49.476955
2.405,-49.49265
2.4059999999999997,-49.24283
2.407,-49.31076
2.408,-49.495922
2.409,-49.404354
2.4099999999999997,-49.151306
2.411,-49.28572
2.412,-49.016712
2.413,-49.27358
2.4139999999999997,-49.25754
2.415,-48.854877
2.416,-49.135418
2.417,-48.936207
2.4179999999999997,-48.495346
2.419,-48.69797
2.42,-48.880035
2.421,-48.67773
2.4219999999999997,-48.550156
2.423,-48.731384
2.424,-48.392242
2.425,-48.44603
2.4259999999999997,-48.43991
2.427,-48.372192
2.428,-48.28313
2.429,-48.24419
2.4299999999999997,-48.44299
2.431,-48.385128
2.432,-48.290623
2.433,-48.352947
2.4339999999999997,-48.155552
2.435,-48.105816
2.436,-47.884563
2.437,-48.11067
2.4379999999999997,-48.139736
2.439,-47.92563
2.44,-48.06906
2.441,-48.12476
2.4419999999999997,-47.87129
2.443,-47.768253
2.444,-47.593243
2.445,-47.751766
2.4459999999999997,-47.796177
2.447,-47.8725
2.448,-47.334713
2.449,-47.564075
2.4499999999999997,-47.611805
2.451,-47.315594
2.452,-47.50589
2.453,-47.257793
2.4539999999999997,-47.227146
2.455,-47.16197
2.456,-47.18192
2.457,-47.035366
2.4579999999999997,-47.131084
2.459,-47.06947
2.46,-47.0815
2.461,-46.992725
2.4619999999999997,-46.698383
2.463,-46.920395
2.464,-46.86792
2.465,-46.602985
2.4659999999999997,-46.839386
2.467,-46.780487
2.468,-46.61995
2.469,-46.510864
2.4699999999999998,-46.55244
2.471,-46.538044
2.472,-46.56455
2.473,-46.456055
2.4739999999999998,-46.603226
2.475,-46.570496
2.476,-46.42165
2.477,-46.407135
2.4779999999999998,-46.200787
2.479,-46.32208
2.48,-46.073048
2.481,-46.33549
2.4819999999999998,-46.04758
2.483,-46.21932
2.484,-46.105637
2.485,-46.21643
2.4859999999999998,-46.04627
2.487,-46.143543
2.488,-46.01239
2.489,-45.782
2.4899999999999998,-45.87962
2.491,-46.026123
2.492,-45.63336
2.493,-45.731037
2.4939999999999998,-45.752747
2.495,-45.60953
2.496,-45.58321
2.497,-45.58257
2.4979999999999998,-45.492138
2.499,-45.473988
2.5,-45.544117
2.501,-45.54555
2.502,-45.37834
2.503,-45.495525
2.504,-45.58394
2.505,-45.375767
2.506,-45.347034
2.507,-45.27473
2.508,-45.32338
2.509,-45.343765
2.51,-45.410007
2.511,-45.163113
2.512,-45.11858
2.513,-45.114582
2.514,-44.907665
2.515,-45.130634
2.516,-45.06569
2.517,-45.039852
2.518,-45.199066
2.519,-44.87974
2.52,-45.126522
2.521,-44.93402
2.522,-44.79414
2.523,-45.129147
2.524,-44.862843
2.525,-44.826977
2.526,-45.0965
2.527,-45.091267
2.528,-44.928356
2.529,-44.716984
2.53,-44.88443
2.531,-44.723103
2.532,-44.757523
2.533,-44.753643
2.534,-44.769512
2.535,-44.650433
2.536,-44.711533
2.537,-44.7291
2.538,-44.871674
2.539,-44.656315
2.54,-44.862473
2.541,-44.85686
2.542,-44.69919
2.543,-44.74547
2.544,-44.7057
2.545,-44.571823
2.546,-44.611607
2.547,-44.682262
2.548,-44.6424
2.549,-44.55835
2.55,-44.661987
2.551,-44.634357
2.552,-44.65353
2.553,-44.40597
2.554,-44.494904
2.5549999999999997,-44.582363
2.556,-44.53888
2.557,-44.685577
2.558,-44.624863
2.559,-44.636276
2.56,-44.651638
2.561,-44.32613
2.562,-44.481567
2.5629999999999997,-44.44324
2.564,-44.556744
2.565,-44.347828
2.566,-44.283863
2.567,-44.458447
2.568,-44.507706
2.569,-44.39073
2.57,-44.33202
2.5709999999999997,-44.440796
2.572,-44.336605
2.573,-44.335682
2.574,-44.524525
2.575,-44.402515
2.576,-44.300175
2.577,-44.316647
2.578,-44.31724
2.5789999999999997,-44.248413
2.58,-44.2311
2.581,-44.402714
2.582,-44.135517
2.583,-44.314774
2.584,-44.196194
2.585,-44.334606
2.586,-44.300182
2.5869999999999997,-44.213028
2.588,-44.219006
2.589,-44.22987
2.59,-44.22713
2.591,-44.26527
2.592,-44.232544
2.593,-44.13977
2.594,-44.302235
2.5949999999999998,-44.334538
2.596,-44.332424
2.597,-44.29936
2.598,-44.160847
2.5989999999999998,-44.28108
2.6,-44.154205
2.601,-44.01593
2.602,-44.20639
2.6029999999999998,-44.061146
2.604,-44.46937
2.605,-44.16454
2.606,-44.159042
2.6069999999999998,-44.136303
2.608,-43.98206
2.609,-44.040447
2.61,-43.920277
2.6109999999999998,-44.140697
2.612,-44.067245
2.613,-44.05373
2.614,-44.01662
2.6149999999999998,-44.054646
2.616,-43.800537
2.617,-43.9736
2.618,-43.99783
2.6189999999999998,-43.97261
2.62,-43.913845
2.621,-44.01743
2.622,-43.982075
2.6229999999999998,-43.864834
2.624,-43.756992
2.625,-43.74419
2.626,-43.960438
2.627,-43.82028
2.628,-43.813736
2.629,-43.57442
2.63,-43.738514
2.631,-43.867508
2.632,-43.659958
2.633,-43.8056
2.634,-43.678356
2.635,-43.84676
2.636,-43.860718
2.637,-43.691925
2.638,-43.621075
2.639,-43.45036
2.64,-43.564316
2.641,-43.5719
2.642,-43.498074
2.643,-43.504925
2.644,-43.521534
2.645,-43.437546
2.646,-43.17745
2.647,-43.414326
2.648,-43.323345
2.649,-43.322247
2.65,-43.247925
2.651,-43.235058
2.652,-43.359035
2.653,-43.220795
2.654,-43.296253
2.655,-43.207485
2.656,-43.00638
2.657,-43.04678
2.658,-43.076977
2.659,-42.92088
2.66,-43.012024
2.661,-43.25633
2.662,-42.783703
2.663,-42.909924
2.664,-42.799244
2.665,-42.809147
2.666,-42.892284
2.667,-42.85985
2.668,-42.81917
2.669,-42.838383
2.67,-42.802235
2.671,-42.805164
2.672,-42.566242
2.673,-42.535404
