freGHz,amplitude
2.4,-49.77135
2.401,-49.812786
2.4019999999999997,-50.02332
2.403,-49.699833
2.404,-49.521885
2.405,-49.57143
2.4059999999999997,-49.568653
2.407,-49.36594
2.408,-49.58798
2.409,-49.05843
2.4099999999999997,-49.40915
2.411,-49.2226
2.412,-49.54121
2.413,-49.326366
2.4139999999999997,-49.024532
2.415,-49.060627
2.416,-49.169346
2.417,-49.08989
2.4179999999999997,-49.133575
2.419,-48.842663
2.42,-48.990765
2.421,-48.867508
2.4219999999999997,-48.715473
2.423,-48.579113
2.424,-48.670734
2.425,-48.911762
2.4259999999999997,-48.663197
2.427,-48.758358
2.428,-48.740234
2.429,-48.515697
2.4299999999999997,-48.544865
2.431,-48.637325
2.432,-48.47194
2.433,-48.436264
2.4339999999999997,-48.342876
2.435,-48.268173
2.436,-48.468395
2.437,-48.230587
2.4379999999999997,-48.265583
2.439,-48.13011
2.44,-48.16681
2.441,-48.110767
2.4419999999999997,-48.059437
2.443,-48.003876
2.444,-47.90149
2.445,-47.75435
2.4459999999999997,-48.105938
2.447,-47.53187
2.448,-47.952072
2.449,-47.77559
2.4499999999999997,-47.66693
2.451,-47.617462
2.452,-47.561874
2.453,-47.568287
2.4539999999999997,-47.47856
2.455,-47.483032
2.456,-47.39973
2.457,-47.47389
2.4579999999999997,-47.44546
2.459,-47.40118
2.46,-47.245678
2.461,-47.1533
2.4619999999999997,-46.991043
2.463,-47.088856
2.464,-47.191345
2.465,-47.024414
2.4659999999999997,-47.113876
2.467,-46.91936
2.468,-46.95531
2.469,-46.973923
2.4699999999999998,-46.919262
2.471,-46.889256
2.472,-46.783062
2.473,-46.525482
2.4739999999999998,-46.709488
2.475,-46.581585
2.476,-46.562088
2.477,-46.55324
2.4779999999999998,-46.258743
2.479,-46.460995
2.48,-46.323994
2.481,-46.223736
2.4819999999999998,-46.567963
2.483,-46.297375
2.484,-46.30234
2.485,-46.35613
2.4859999999999998,-46.43665
2.487,-46.2422
2.488,-46.19284
2.489,-46.08382
2.4899999999999998,-46.137623
2.491,-46.1459
2.492,-46.010693
2.493,-46.191532
2.4939999999999998,-45.861034
2.495,-46.13678
2.496,-45.988033
2.497,-46.037067
2.4979999999999998,-45.91202
2.499,-45.96286
2.5,-46.0081
2.501,-46.183777
2.502,-45.73752
2.503,-45.80705
2.504,-45.720013
2.505,-45.76346
2.506,-45.66827
2.507,-45.804184
2.508,-45.637074
2.509,-45.5648
2.51,-45.800674
2.511,-45.46892
2.512,-45.726566
2.513,-45.61351
2.514,-45.70346
2.515,-45.48552
2.516,-45.345936
2.517,-45.73364
2.518,-45.537693
2.519,-45.374798
2.52,-45.468906
2.521,-45.349316
2.522,-45.510098
2.523,-45.596516
2.524,-45.37013
2.525,-45.514538
2.526,-45.28572
2.527,-45.278217
2.528,-45.369892
2.529,-45.459576
2.53,-45.183228
2.531,-45.256943
2.532,-45.304718
2.533,-45.229687
2.534,-45.384502
2.535,-45.155216
2.536,-45.151608
2.537,-45.064835
2.538,-45.178436
2.539,-45.156002
2.54,-45.116444
2.541,-45.043182
2.542,-45.31365
2.543,-45.24934
2.544,-45.245808
