freGHz,amplitude
2.4,-49.805634
2.401,-49.740864
2.4019999999999997,-49.790394
2.403,-49.567566
2.404,-49.463886
2.405,-49.68764
2.4059999999999997,-49.507446
2.407,-49.45898
2.408,-49.467136
2.409,-49.304672
2.4099999999999997,-49.17682
2.411,-49.10696
2.412,-49.251007
2.413,-49.027084
2.4139999999999997,-49.217297
2.415,-49.197178
2.416,-49.09702
2.417,-48.862156
2.4179999999999997,-49.046253
2.419,-48.877716
2.42,-48.920605
2.421,-48.706264
2.4219999999999997,-48.53592
2.423,-48.805477
2.424,-48.517498
2.425,-48.94856
2.4259999999999997,-48.659763
2.427,-48.477066
2.428,-48.48357
2.429,-48.47705
2.4299999999999997,-48.59659
2.431,-48.501038
2.432,-48.46762
2.433,-48.42169
2.4339999999999997,-48.204845
2.435,-48.284378
2.436,-48.22229
2.437,-47.948532
2.4379999999999997,-48.31222
2.439,-48.120102
2.44,-47.928143
2.441,-47.886944
2.4419999999999997,-48.079075
2.443,-48.084118
2.444,-47.846165
2.445,-47.986195
2.4459999999999997,-47.78081
2.447,-47.807785
2.448,-47.626644
2.449,-47.735455
2.4499999999999997,-47.637882
2.451,-47.340057
2.452,-47.662598
2.453,-47.502476
2.4539999999999997,-47.36366
2.455,-47.499634
2.456,-47.608585
2.457,-47.31547
2.4579999999999997,-47.19604
2.459,-47.19229
2.46,-47.399334
2.461,-46.947643
2.4619999999999997,-47.044815
2.463,-47.152653
2.464,-47.094116
2.465,-47.093445
2.4659999999999997,-46.736572
2.467,-46.95339
2.468,-46.927998
2.469,-46.842697
2.4699999999999998,-46.836597
2.471,-46.68272
2.472,-46.58449
2.473,-46.724213
2.4739999999999998,-46.506924
2.475,-46.535564
2.476,-46.558285
2.477,-46.373905
2.4779999999999998,-46.612293
2.479,-46.52641
2.48,-46.43216
2.481,-46.304485
2.4819999999999998,-46.25292
2.483,-46.195057
2.484,-46.12962
2.485,-46.384716
2.4859999999999998,-46.155895
2.487,-46.15624
2.488,-46.167294
2.489,-45.921688
2.4899999999999998,-46.027416
2.491,-45.94196
2.492,-46.048595
2.493,-45.92516
2.4939999999999998,-45.84667
2.495,-45.824463
2.496,-46.050587
2.497,-45.537907
2.4979999999999998,-45.787037
2.499,-45.697735
2.5,-45.592266
2.501,-45.603664
2.502,-45.582855
2.503,-45.708057
2.504,-45.51805
2.505,-45.473816
2.506,-45.627514
2.507,-45.686596
2.508,-45.54855
2.509,-45.450073
2.51,-45.58523
2.511,-45.38384
2.512,-45.56252
2.513,-45.452404
2.514,-45.519943
2.515,-45.406143
2.516,-45.330013
2.517,-45.361515
2.518,-45.435078
2.519,-45.12309
2.52,-45.162876
2.521,-45.24617
2.522,-45.208736
2.523,-45.451492
2.524,-45.116688
2.525,-45.148273
2.526,-45.38286
2.527,-45.1295
2.528,-45.15602
2.529,-45.129467
2.53,-44.941776
2.531,-45.18291
2.532,-45.02913
2.533,-45.10783
2.534,-44.93666
2.535,-45.03731
2.536,-45.052303
2.537,-44.999256
2.538,-44.941113
2.539,-44.915318
2.54,-44.84276
2.541,-44.851162
2.542,-44.936966
2.543,-44.66123
2.544,-44.824116
2.545,-44.876675
2.546,-44.765976
2.547,-44.95161
2.548,-44.884933
2.549,-44.837612
2.55,-44.900257
2.551,-44.64499
2.552,-44.894787
2.553,-44.82301
2.554,-44.705227
2.5549999999999997,-44.678913
2.556,-44.676975
2.557,-44.770634
2.558,-44.762512
2.559,-44.66899
2.56,-44.888607
2.561,-44.777996
2.562,-44.877502
2.5629999999999997,-44.794025
2.564,-44.621826
2.565,-44.78757
2.566,-44.73573
2.567,-44.85341
2.568,-44.779125
2.569,-44.58023
2.57,-44.556446
2.5709999999999997,-44.610813
2.572,-44.705105
2.573,-44.623684
2.574,-44.631878
2.575,-44.609024
2.576,-44.615185
2.577,-44.72656
2.578,-44.63061
2.5789999999999997,-44.60721
2.58,-44.55428
2.581,-44.51129
2.582,-44.716755
2.583,-44.708637
2.584,-44.685272
2.585,-44.5885
2.586,-44.47688
2.5869999999999997,-44.487198
2.588,-44.457546
2.589,-44.35013
2.59,-44.467484
2.591,-44.65456
2.592,-44.5404
2.593,-44.486485
2.594,-44.50675
2.5949999999999998,-44.40295
2.596,-44.48642
2.597,-44.41655
2.598,-44.34297
2.5989999999999998,-44.40457
2.6,-44.546673
2.601,-44.429234
2.602,-44.430996
2.6029999999999998,-44.41003
2.604,-44.249355
2.605,-44.494522
2.606,-44.27354
2.6069999999999998,-44.368374
2.608,-44.41818
2.609,-44.370922
2.61,-44.415035
2.6109999999999998,-44.357086
2.612,-44.32765
2.613,-44.322235
2.614,-44.235188
2.6149999999999998,-44.286312
2.616,-43.95155
2.617,-44.172245
2.618,-44.225266
2.6189999999999998,-44.166138
2.62,-44.132526
2.621,-44.200207
2.622,-44.047684
2.6229999999999998,-44.19624
2.624,-44.02921
2.625,-44.021927
2.626,-44.10153
2.627,-43.883633
2.628,-43.937534
2.629,-43.96111
2.63,-44.03378
2.631,-44.040424
2.632,-43.98286
2.633,-43.989918
2.634,-43.943676
2.635,-44.020355
2.636,-44.023533
2.637,-43.954372
2.638,-43.9006
2.639,-43.85448
2.64,-43.956974
2.641,-43.67325
2.642,-43.769012
2.643,-43.853317
2.644,-43.91461
2.645,-43.92178
2.646,-43.69751
