freGHz,amplitude
2.4,-50.139782
2.401,-49.669827
2.4019999999999997,-49.750854
2.403,-49.743805
2.404,-49.86894
2.405,-49.591595
2.4059999999999997,-49.61594
2.407,-49.284687
2.408,-49.923664
2.409,-49.63686
2.4099999999999997,-49.651302
2.411,-49.59319
2.412,-49.358974
2.413,-49.523438
2.4139999999999997,-49.200287
2.415,-49.46596
2.416,-49.009235
2.417,-49.26114
2.4179999999999997,-49.111286
2.419,-49.095203
2.42,-49.08778
2.421,-49.078724
2.4219999999999997,-48.950916
2.423,-49.043476
2.424,-49.06726
2.425,-48.674854
2.4259999999999997,-48.83859
2.427,-48.704647
2.428,-48.601467
2.429,-48.576794
2.4299999999999997,-48.462452
2.431,-48.572968
2.432,-48.478535
2.433,-48.6315
2.4339999999999997,-48.564575
2.435,-48.3989
2.436,-48.258762
2.437,-48.485626
2.4379999999999997,-48.384632
2.439,-48.212727
2.44,-48.34578
2.441,-48.264286
2.4419999999999997,-48.0544
2.443,-48.199413
2.444,-48.02533
2.445,-47.752502
2.4459999999999997,-47.975513
2.447,-47.78359
2.448,-47.833942
2.449,-47.900677
2.4499999999999997,-47.67998
2.451,-47.789585
2.452,-47.620224
2.453,-47.813435
2.4539999999999997,-47.67264
2.455,-47.57989
2.456,-47.51895
2.457,-47.422123
2.4579999999999997,-47.402477
2.459,-47.35391
2.46,-47.450684
2.461,-47.147617
2.4619999999999997,-47.49329
2.463,-47.346237
2.464,-46.994522
2.465,-47.14449
2.4659999999999997,-47.08579
2.467,-47.08891
2.468,-46.92917
2.469,-46.927296
2.4699999999999998,-46.995617
2.471,-46.813396
2.472,-46.900494
2.473,-46.83145
2.4739999999999998,-46.91399
2.475,-46.700207
2.476,-46.780228
2.477,-46.67334
2.4779999999999998,-46.666096
2.479,-46.4888
2.48,-46.401867
2.481,-46.553738
2.4819999999999998,-46.354214
2.483,-46.470005
2.484,-46.41214
2.485,-46.27127
2.4859999999999998,-46.46941
2.487,-46.376247
2.488,-46.31905
2.489,-46.319225
2.4899999999999998,-46.22024
2.491,-46.111576
2.492,-46.16403
2.493,-46.15364
2.4939999999999998,-45.975357
2.495,-45.986248
2.496,-46.09778
2.497,-45.979572
2.4979999999999998,-45.923664
2.499,-46.070286
2.5,-45.982895
2.501,-45.886562
2.502,-45.883503
2.503,-45.86574
2.504,-45.788635
2.505,-45.693386
2.506,-45.76946
2.507,-45.843983
2.508,-46.017857
2.509,-45.669285
2.51,-45.559753
2.511,-45.493744
2.512,-45.67079
2.513,-45.64088
2.514,-45.482655
2.515,-45.46355
2.516,-45.61244
2.517,-45.451187
2.518,-45.435184
2.519,-45.46224
2.52,-45.305264
2.521,-45.47313
2.522,-45.573853
2.523,-45.268047
2.524,-45.308834
2.525,-45.374653
2.526,-45.35771
2.527,-45.195965
2.528,-45.23141
2.529,-45.314312
2.53,-45.336334
2.531,-45.076904
2.532,-45.330257
2.533,-45.075928
2.534,-45.329403
2.535,-45.13213
2.536,-45.29951
