freGHz,amplitude
2.4,-47.17336
2.401,-47.078213
2.4019999999999997,-47.01099
2.403,-46.97113
2.404,-46.914906
2.405,-46.83322
2.4059999999999997,-46.76353
2.407,-46.715626
2.408,-46.6916
2.409,-46.610157
2.4099999999999997,-46.55612
2.411,-46.50117
2.412,-46.49435
2.413,-46.505016
2.4139999999999997,-46.459736
2.415,-46.41127
2.416,-46.42078
2.417,-46.374847
2.4179999999999997,-46.35385
2.419,-46.384304
2.42,-46.34965
2.421,-46.336273
2.4219999999999997,-46.314636
2.423,-46.304974
2.424,-46.29253
2.425,-46.291393
2.4259999999999997,-46.27867
2.427,-46.268066
2.428,-46.254208
2.429,-46.247616
2.4299999999999997,-46.262623
2.431,-46.261547
2.432,-46.241695
2.433,-46.25876
2.4339999999999997,-46.26759
2.435,-46.271137
2.436,-46.275806
2.437,-46.260788
2.4379999999999997,-46.276093
2.439,-46.291317
2.44,-46.26224
2.441,-46.287273
2.4419999999999997,-46.338634
2.443,-46.321354
2.444,-46.310577
2.445,-46.310028
2.4459999999999997,-46.359375
2.447,-46.32608
2.448,-46.36948
2.449,-46.326
2.4499999999999997,-46.39621
2.451,-46.440994
2.452,-46.406223
2.453,-46.44391
2.4539999999999997,-46.41072
2.455,-46.488277
2.456,-46.460342
2.457,-46.513916
2.4579999999999997,-46.513386
2.459,-46.473484
2.46,-46.506176
2.461,-46.498554
2.4619999999999997,-46.438053
2.463,-46.568954
2.464,-46.500946
2.465,-46.510117
2.4659999999999997,-46.420887
2.467,-46.431976
2.468,-46.437393
2.469,-46.449127
2.4699999999999998,-46.400173
2.471,-46.412598
2.472,-46.361187
2.473,-46.40153
2.4739999999999998,-46.46652
2.475,-46.499268
2.476,-46.471874
2.477,-46.408268
2.4779999999999998,-46.51192
2.479,-46.505894
2.48,-46.423824
2.481,-46.43246
2.4819999999999998,-46.427723
2.483,-46.424973
2.484,-46.41688
2.485,-46.323994
2.4859999999999998,-46.327953
2.487,-46.217594
2.488,-46.39237
2.489,-46.360214
2.4899999999999998,-46.2273
2.491,-46.499386
2.492,-46.4399
2.493,-46.286713
2.4939999999999998,-46.138325
2.495,-46.317287
2.496,-46.12962
2.497,-46.34849
2.4979999999999998,-46.242767
2.499,-46.148895
2.5,-46.184772
2.501,-46.09847
2.502,-46.097645
2.503,-46.090897
2.504,-46.046223
2.505,-45.865814
2.506,-45.881725
2.507,-45.905487
2.508,-45.940674
2.509,-46.006237
2.51,-45.8938
2.511,-45.71994
2.512,-45.876434
2.513,-46.04831
2.514,-45.939434
2.515,-46.006992
2.516,-45.79547
2.517,-45.92914
2.518,-45.753098
2.519,-45.838486
2.52,-45.81996
2.521,-45.865555
2.522,-45.796154
2.523,-45.690384
2.524,-45.763992
2.525,-45.751537
2.526,-45.639782
2.527,-45.794453
2.528,-45.771393
2.529,-45.550068
2.53,-45.678318
2.531,-45.692974
2.532,-45.84129
2.533,-45.767624
2.534,-45.565228
2.535,-45.47359
2.536,-45.489857
2.537,-45.51114
2.538,-45.58041
2.539,-45.352646
2.54,-45.466038
2.541,-45.387985
2.542,-45.492855
2.543,-45.59805
2.544,-45.38353
2.545,-45.403034
2.546,-45.43636
2.547,-45.327007
2.548,-45.422153
2.549,-45.291286
2.55,-45.2889
2.551,-45.341278
2.552,-45.303394
2.553,-45.24589
2.554,-45.284
2.5549999999999997,-45.287994
2.556,-45.288197
2.557,-45.351612
2.558,-45.189007
2.559,-45.2263
2.56,-45.10934
2.561,-45.08189
2.562,-45.19449
2.5629999999999997,-45.16443
2.564,-45.10803
2.565,-45.12849
2.566,-45.098362
2.567,-44.96483
2.568,-44.87108
2.569,-45.064037
2.57,-44.98413
2.5709999999999997,-44.885357
2.572,-45.039642
2.573,-45.053905
2.574,-44.967197
2.575,-45.06351
2.576,-44.86494
2.577,-44.967808
2.578,-44.877228
2.5789999999999997,-44.908283
2.58,-44.94449
2.581,-44.797985
2.582,-44.85078
2.583,-44.792282
2.584,-44.783825
2.585,-44.804047
2.586,-44.855274
2.5869999999999997,-44.701035
2.588,-44.755688
2.589,-44.707462
2.59,-44.763885
2.591,-44.56999
2.592,-44.66475
2.593,-44.594524
2.594,-44.54721
2.5949999999999998,-44.518932
2.596,-44.588573
2.597,-44.505222
2.598,-44.47938
2.5989999999999998,-44.542377
2.6,-44.422016
2.601,-44.438217
2.602,-44.452026
2.6029999999999998,-44.358368
2.604,-44.34342
2.605,-44.31055
2.606,-44.197445
2.6069999999999998,-44.323315
2.608,-44.22939
2.609,-44.243336
2.61,-44.19801
2.6109999999999998,-44.241703
2.612,-44.114567
2.613,-44.108856
2.614,-44.222645
2.6149999999999998,-44.13207
2.616,-44.152298
2.617,-44.134693
2.618,-43.99808
2.6189999999999998,-44.14182
2.62,-43.94629
2.621,-43.83395
2.622,-43.932163
2.6229999999999998,-43.863293
2.624,-43.798367
2.625,-43.813354
2.626,-43.82632
2.627,-43.781048
2.628,-43.690136
2.629,-43.719776
2.63,-43.639027
2.631,-43.67213
2.632,-43.687756
2.633,-43.684696
2.634,-43.558964
2.635,-43.604828
2.636,-43.533604
2.637,-43.562244
2.638,-43.400753
2.639,-43.436886
2.64,-43.431957
2.641,-43.330154
2.642,-43.44723
2.643,-43.361492
2.644,-43.349384
2.645,-43.402664
2.646,-43.296864
2.647,-43.383587
2.648,-43.214294
2.649,-43.260162
2.65,-43.221638
2.651,-43.175037
2.652,-43.213024
2.653,-43.161297
2.654,-43.119953
2.655,-43.073914
2.656,-43.086903
2.657,-42.988506
2.658,-43.033794
2.659,-42.93083
2.66,-42.976658
2.661,-42.8538
2.662,-42.97531
2.663,-42.928844
2.664,-42.88075
2.665,-42.934765
2.666,-42.83227
2.667,-42.831924
2.668,-42.811268
2.669,-42.77664
2.67,-42.73883
2.671,-42.68097
2.672,-42.7488
2.673,-42.65817
2.674,-42.753895
2.675,-42.59496
2.676,-42.570522
2.677,-42.536713
2.678,-42.595505
2.679,-42.54904
2.68,-42.492565
2.681,-42.57023
2.682,-42.464428
2.683,-42.553967
2.684,-42.369858
2.685,-42.43435
2.686,-42.436573
2.687,-42.365612
2.688,-42.37712
2.689,-42.19551
2.69,-42.24589
2.691,-42.170956
2.692,-42.15271
2.693,-42.097363
2.694,-42.191467
2.695,-42.07008
2.696,-42.05765
2.697,-41.86626
2.698,-41.88138
2.699,-41.940704
2.7,-41.872715
2.701,-41.773396
2.702,-41.636814
2.703,-41.68925
2.7039999999999997,-41.717216
2.705,-41.597397
2.706,-41.537945
2.707,-41.377323
2.708,-41.436474
2.709,-41.23001
2.71,-41.354084
2.711,-41.153522
2.7119999999999997,-41.244007
2.713,-41.187122
2.714,-40.92619
2.715,-40.921597
2.716,-40.97107
2.717,-40.777298
2.718,-40.752567
2.719,-40.826427
2.7199999999999998,-40.749477
2.721,-40.558765
2.722,-40.47444
2.723,-40.498974
2.724,-40.38706
2.725,-40.33189
2.726,-40.31265
2.727,-40.150223
2.7279999999999998,-40.19611
2.729,-40.01379
2.73,-40.07434
2.731,-39.977615
2.732,-39.956715
2.733,-39.794743
2.734,-39.750168
2.735,-39.764317
2.7359999999999998,-39.57018
2.737,-39.495968
2.738,-39.531475
2.739,-39.426044
2.74,-39.297047
2.741,-39.153824
2.742,-39.273643
2.743,-39.158833
2.7439999999999998,-38.994194
2.745,-38.919563
2.746,-38.90347
2.747,-38.76079
2.748,-38.76315
2.749,-38.615147
2.75,-38.630886
2.751,-38.49081
2.752,-38.494633
2.753,-38.363434
2.754,-38.31032
2.755,-38.21696
2.7560000000000002,-38.117172
2.757,-37.97172
2.758,-37.94222
2.759,-37.89977
2.76,-37.773796
2.761,-37.786327
2.762,-37.66483
2.763,-37.490314
2.7640000000000002,-37.500103
2.765,-37.446537
2.766,-37.31815
2.767,-37.221603
2.768,-37.190136
2.769,-37.11368
2.77,-37.023113
2.771,-36.88702
2.7720000000000002,-36.850662
2.773,-36.777355
2.774,-36.695087
2.775,-36.656185
2.776,-36.50179
2.777,-36.4636
2.778,-36.34729
2.779,-36.280544
2.7800000000000002,-36.27445
2.781,-36.12274
2.782,-36.07066
2.783,-35.993977
2.784,-35.872433
2.785,-35.8661
2.786,-35.779285
2.787,-35.735794
2.788,-35.668865
2.789,-35.488537
2.79,-35.512974
2.791,-35.46314
2.792,-35.38133
2.793,-35.2924
2.794,-35.2286
2.795,-35.245224
2.796,-35.151608
2.797,-35.068604
2.798,-34.947964
2.799,-34.91402
2.8,-34.85293
2.801,-34.75821
2.802,-34.664227
2.803,-34.659405
2.804,-34.618206
2.805,-34.567993
2.806,-34.527912
2.807,-34.448242
2.808,-34.39009
2.809,-34.325653
2.81,-34.29195
2.811,-34.194874
2.812,-34.153694
2.813,-34.095333
2.814,-34.030014
2.815,-33.934948
2.816,-33.93893
2.817,-33.901676
2.818,-33.857464
2.819,-33.829876
2.82,-33.699486
2.821,-33.703888
2.822,-33.62708
2.823,-33.594933
2.824,-33.569576
2.825,-33.53449
2.826,-33.502365
2.827,-33.43214
2.828,-33.457104
2.829,-33.423832
2.83,-33.434605
2.831,-33.313366
2.832,-33.33137
2.833,-33.25743
2.834,-33.298946
2.835,-33.205776
2.836,-33.206154
2.837,-33.156063
2.838,-33.10511
2.839,-33.074482
2.84,-33.12506
2.841,-33.100323
2.842,-33.092335
2.843,-33.071213
2.844,-33.119976
2.845,-33.05396
2.846,-33.046204
2.847,-33.01865
2.848,-33.02661
2.849,-33.039288
2.85,-33.038746
2.851,-32.985134
