freGHz,amplitude
2.4,-49.501667
2.401,-49.255527
2.4019999999999997,-49.463684
2.403,-49.40747
2.404,-49.27892
2.405,-49.48479
2.4059999999999997,-49.3817
2.407,-49.23091
2.408,-49.29802
2.409,-49.149746
2.4099999999999997,-49.01054
2.411,-48.979977
2.412,-48.898346
2.413,-48.9976
2.4139999999999997,-48.83521
2.415,-48.786453
2.416,-48.75622
2.417,-48.87291
2.4179999999999997,-48.850605
2.419,-48.77046
2.42,-48.717785
2.421,-48.699726
2.4219999999999997,-48.478394
2.423,-48.581665
2.424,-48.346836
2.425,-48.577724
2.4259999999999997,-48.406902
2.427,-48.233517
2.428,-48.31941
2.429,-48.283813
2.4299999999999997,-48.025738
2.431,-48.039753
2.432,-48.050037
2.433,-48.34905
2.4339999999999997,-47.81447
2.435,-48.259613
2.436,-47.87472
2.437,-47.937298
2.4379999999999997,-47.769314
2.439,-47.61853
2.44,-47.956882
2.441,-47.906834
2.4419999999999997,-47.499786
2.443,-47.701283
2.444,-47.542507
2.445,-47.666523
2.4459999999999997,-47.600006
2.447,-47.458355
2.448,-47.575317
2.449,-47.38084
2.4499999999999997,-47.497997
2.451,-47.328472
2.452,-47.14741
2.453,-47.162487
2.4539999999999997,-47.12518
2.455,-47.2652
2.456,-47.03665
2.457,-46.803665
2.4579999999999997,-47.05551
2.459,-47.21754
2.46,-46.911213
2.461,-46.87343
2.4619999999999997,-46.658596
2.463,-46.881504
2.464,-46.789684
2.465,-46.483593
2.4659999999999997,-46.611237
2.467,-46.671955
2.468,-46.735703
2.469,-46.79305
2.4699999999999998,-46.430344
2.471,-46.382233
2.472,-46.587513
2.473,-46.29021
2.4739999999999998,-46.40916
2.475,-46.52745
2.476,-46.280884
2.477,-46.08637
2.4779999999999998,-46.23314
2.479,-46.06261
2.48,-46.225254
2.481,-46.05475
2.4819999999999998,-46.056686
2.483,-45.956913
2.484,-46.106995
2.485,-46.114334
2.4859999999999998,-45.77823
2.487,-45.930557
2.488,-45.94505
2.489,-45.95715
2.4899999999999998,-45.795277
2.491,-45.729218
2.492,-45.879436
2.493,-45.861095
2.4939999999999998,-45.796803
2.495,-45.648224
2.496,-45.484955
2.497,-45.387455
2.4979999999999998,-45.434902
2.499,-45.47578
2.5,-45.5311
2.501,-45.58192
2.502,-45.492203
2.503,-45.436066
2.504,-45.36969
2.505,-45.210514
2.506,-45.36025
2.507,-45.241108
2.508,-45.196507
2.509,-45.200073
2.51,-45.243607
2.511,-45.17816
2.512,-45.104946
2.513,-44.907913
2.514,-44.77512
2.515,-45.266834
2.516,-45.206573
2.517,-45.244446
2.518,-45.012768
2.519,-45.01413
2.52,-44.85387
2.521,-44.95671
2.522,-44.861813
2.523,-44.91182
2.524,-44.9001
2.525,-44.980762
2.526,-44.884003
2.527,-44.99206
2.528,-44.912373
2.529,-44.900867
2.53,-44.821697
2.531,-44.759533
2.532,-44.81549
2.533,-44.600513
2.534,-44.932026
2.535,-44.61624
2.536,-44.5943
2.537,-44.79213
2.538,-44.752808
2.539,-44.60823
2.54,-44.725903
2.541,-44.879536
2.542,-44.553173
2.543,-44.57597
2.544,-44.615047
2.545,-44.61478
2.546,-44.49078
2.547,-44.65207
2.548,-44.58322
2.549,-44.7514
2.55,-44.618
2.551,-44.71603
2.552,-44.666454
2.553,-44.53574
2.554,-44.46912
2.5549999999999997,-44.47403
2.556,-44.370377
2.557,-44.49625
2.558,-44.495502
2.559,-44.37733
2.56,-44.479107
2.561,-44.195023
2.562,-44.533703
2.5629999999999997,-44.454575
2.564,-44.58342
2.565,-44.410126
2.566,-44.38338
2.567,-44.356842
2.568,-44.202946
2.569,-44.429813
2.57,-44.305805
2.5709999999999997,-44.2406
2.572,-44.302246
2.573,-44.36673
2.574,-44.49251
2.575,-44.28715
2.576,-44.35788
2.577,-44.25191
2.578,-44.24153
2.5789999999999997,-44.200397
2.58,-44.29537
2.581,-44.39448
2.582,-44.257908
2.583,-44.333237
2.584,-44.29015
2.585,-44.293076
2.586,-44.29514
2.5869999999999997,-44.197906
2.588,-44.21028
2.589,-44.075897
2.59,-44.219666
2.591,-44.13043
2.592,-44.12785
2.593,-44.196484
2.594,-44.213535
2.5949999999999998,-44.29666
2.596,-44.12277
2.597,-44.037487
2.598,-44.12662
2.5989999999999998,-44.058853
2.6,-44.07333
2.601,-44.018597
2.602,-44.230698
2.6029999999999998,-44.114532
2.604,-44.040257
2.605,-44.114513
2.606,-43.903973
2.6069999999999998,-44.038586
2.608,-43.920696
2.609,-44.020847
2.61,-43.901997
2.6109999999999998,-44.020283
2.612,-43.995296
2.613,-44.07604
2.614,-43.894802
2.6149999999999998,-43.916218
2.616,-43.747707
2.617,-43.846157
2.618,-44.00586
2.6189999999999998,-43.861958
2.62,-43.832294
2.621,-43.813
2.622,-43.76526
2.6229999999999998,-43.500805
2.624,-43.82066
2.625,-43.72019
2.626,-43.631847
2.627,-43.670147
2.628,-43.64032
2.629,-43.59927
2.63,-43.633297
2.631,-43.654083
2.632,-43.588726
2.633,-43.625416
2.634,-43.60478
2.635,-43.36763
2.636,-43.36275
2.637,-43.417507
2.638,-43.61285
2.639,-43.47819
2.64,-43.451122
2.641,-43.260975
2.642,-43.326706
2.643,-43.2648
2.644,-43.253784
2.645,-43.313725
2.646,-43.182384
2.647,-43.180603
2.648,-43.29335
2.649,-43.136322
2.65,-43.29504
2.651,-43.176952
2.652,-43.159546
2.653,-43.052277
2.654,-43.09535
2.655,-42.99824
2.656,-43.009274
2.657,-42.97084
2.658,-42.7879
2.659,-42.80133
2.66,-42.732075
2.661,-42.778214
2.662,-42.790344
2.663,-42.727406
2.664,-42.659527
2.665,-42.7729
2.666,-42.591106
2.667,-42.543293
2.668,-42.578045
2.669,-42.471004
2.67,-42.50533
2.671,-42.5387
2.672,-42.437424
2.673,-42.38446
2.674,-42.2653
2.675,-42.241558
2.676,-42.303974
2.677,-42.1327
2.678,-42.349068
2.679,-42.085373
2.68,-42.148098
2.681,-42.238186
2.682,-41.915928
2.683,-42.108047
2.684,-41.76666
2.685,-42.058807
2.686,-41.837383
2.687,-41.709408
2.688,-41.61646
2.689,-41.83097
2.69,-41.87286
2.691,-41.648632
2.692,-41.671295
2.693,-41.37859
2.694,-41.380272
2.695,-41.500454
2.696,-41.529495
2.697,-41.388214
2.698,-41.35128
2.699,-41.359943
2.7,-41.129242
2.701,-41.172325
2.702,-41.163494
2.703,-41.075504
2.7039999999999997,-41.027508
2.705,-41.05782
2.706,-40.888218
2.707,-40.786438
2.708,-40.729374
2.709,-40.761322
2.71,-40.69106
2.711,-40.69475
2.7119999999999997,-40.632442
2.713,-40.45554
2.714,-40.44736
2.715,-40.46846
2.716,-40.301193
2.717,-40.432125
2.718,-40.119667
2.719,-40.24603
2.7199999999999998,-40.043045
2.721,-40.077827
2.722,-40.043545
2.723,-39.963375
2.724,-39.764164
2.725,-39.815327
2.726,-39.676266
2.727,-39.65346
2.7279999999999998,-39.61211
2.729,-39.54745
2.73,-39.625126
2.731,-39.434372
2.732,-39.405518
2.733,-39.22672
2.734,-39.236526
2.735,-39.178104
2.7359999999999998,-39.055634
2.737,-39.013977
2.738,-38.932354
2.739,-38.821903
2.74,-38.74158
2.741,-38.72086
2.742,-38.580086
2.743,-38.50945
2.7439999999999998,-38.469547
2.745,-38.432148
2.746,-38.331387
2.747,-38.236355
2.748,-38.221268
2.749,-38.17589
2.75,-38.046387
2.751,-37.91501
2.752,-37.90269
2.753,-37.793278
2.754,-37.820194
2.755,-37.636913
2.7560000000000002,-37.66448
2.757,-37.604115
2.758,-37.43871
2.759,-37.393982
2.76,-37.28312
2.761,-37.178898
2.762,-37.159164
2.763,-37.06393
2.7640000000000002,-36.95988
2.765,-36.95018
2.766,-36.85719
2.767,-36.77631
2.768,-36.703823
2.769,-36.570866
2.77,-36.54625
2.771,-36.493713
2.7720000000000002,-36.38226
2.773,-36.303497
2.774,-36.190205
2.775,-36.203693
2.776,-36.05762
2.777,-36.004578
2.778,-35.91014
2.779,-35.87832
2.7800000000000002,-35.752003
2.781,-35.710205
2.782,-35.578213
2.783,-35.556454
2.784,-35.513027
2.785,-35.414856
2.786,-35.41672
2.787,-35.328796
2.788,-35.27011
2.789,-35.200493
2.79,-35.072002
2.791,-35.067463
2.792,-35.036087
2.793,-34.94988
2.794,-34.864674
2.795,-34.852757
2.796,-34.73676
2.797,-34.663006
2.798,-34.65313
2.799,-34.61804
2.8,-34.494267
2.801,-34.44884
2.802,-34.388012
2.803,-34.375546
2.804,-34.301277
2.805,-34.210648
2.806,-34.207302
2.807,-34.14887
2.808,-34.075367
2.809,-34.032497
2.81,-34.02918
2.811,-33.958096
